spurn,v. 摒棄、藐視;[記] spur (馬刺)→應該要摒棄
squander,v. 揮霍、浪費
staggering,a. 驚人的
sterling,a. 優秀的、出色的、高尚的;[例] sterling character;[記] ster (=star 星的)→如星星一般催燦
stifle,"v. 使窒息、悶死;[類] suffocate, choke, smother;[記法]死呆否，使待佛"
stoicism,n. 斯多葛哲學、禁慾主義; 堅忍，隱忍；（對痛苦的）處之泰然;the quality or behavior of a person who accepts what happens without complaining or showing emotion
stratification,n. 分層、階層
stymie,"n. 阻礙、妨礙;[類] clog, cramp;[例] The aging U.S. population could stymie future job growth."
substantial,a. 大量的、實在的
substantiate,v. 證實
sumptuous,a. 豪華的、奢華的、奢侈的;[例] a sumptuous banquet 盛宴
supplement,n. 補充、增加
syntax,n. 語法、句法;[類] a. syntactic 句法的
taciturn,a. 沉默的;[反] loquacious (多話的); prolix(囉嗦的); voluble(多話的)
tantalize,v. 引逗、使著迷
taxing,"a. 負擔沉重的;[類] onerous, wearing;[記] 稅負(tax)十分沉重→taxing負擔沉重的"
testimony,n. 證詞、見證
tedious,a. 冗長乏味的、使人厭煩的
temerity,n. 魯莽、冒失、不自量力;[類] recklessness;[記] 音讀「他媽的」→在不正確的場合罵髒話→魯莽的
tepid,a. 不熱情的、微熱的
terse,a. 簡短的、簡明的、簡潔的
thwart,"v. 阻撓、阻礙;[反] foment(煽動); bolster(支持);[記] 字源於""twist""扭曲→阻撓"
torpor,n. 麻木、無精打采、遲鈍;[反] ardor (熱心、熱情);[記] 拖盆;;: a state of not being active and having very little energy
trifling,a. 不重要的、微不足道的
trite,a. 陳腐的;[類] hackneyed; banal
trivial,a. 瑣碎的、微不足道的
truculent,"a. 好鬥的、殘酷的;易怒的；好鬥的；尋釁的;: easily annoyed or angered and likely to argue;[類] pugnacious, bellicose"
truncated,a. 縮短的、截形的; 截短，刪節，縮短（尤指去尾）
tyranny,n. 暴政、專制
ubiquitous,"a. 無所不在的;[類] omnipresent, universal"
uncanny,adj. 怪異的，難懂的
unctuous,a. 假殷勤的、油腔滑調的;[類] insincere
undercut,n. 削弱
undermine,v. 削弱
ungainly,"a. 笨拙的;[類] awkward, clumsy, bungling;[記] un(不能)+gain(得到)+ly→不能得到女生歡心→笨拙的"
universality,n. 普遍性;[記] universe 宇宙
unkempt,a. 凌亂的;;[記法]不能維持一樣的
unscathed,a. 未受傷的的、未受損失的
unseemly,a. 不得體的;;[記法]不能看的
unwieldy,"a. 難以控制的、複雜的;: difficult to handle, control, or deal with because of being large, heavy, or complex"
unwittingly,adv. 不知情地、無意地;: not aware of what is really happening;: not intended or planned
upheaval,n. 動亂、劇烈變革;[例] Spain is bracing itself for a year of political upheaval.
vacant,"a. 空著的、無表情的;: not filled, used, or lived in;of a job or position : not occupied by a person : available to be taken by someone;: showing no indication of what someone is thinking, feeling, etc."
vacillate,"v. 猶豫不決;[類] waver, hesitate;[例] The minister has vacillated on the controversial issue.;[記] va 音讀「hm ahh...」→猶豫不決"
valorize,v. 增進價值、給予價值、肯定;[記] value (價值) 轉動詞→valorize
vehement,a. 激烈的、發洩的、情緒化的;: showing strong and often angry feelings : very emotional
venal,a. 貪污的
veneration,n. 尊敬;= revere
wane,"v. 虧缺、衰弱、消失;[類] a. waning (衰退的) = declining, ebb"
wanting,a. 不足的; 缺少的，缺乏的
wary,a. 謹慎的
whimsical,a. 怪誕的、異想天開的、反覆無常的; 離奇的；古怪的；異想天開的;[例] whimsical imagery 怪誕的意象;[記] whim 音讀「揮」→揮發性的→反覆無常、怪誕的;;: unusual in a playful or amusing way : not serious
wont,"adj. 習慣於、慣常於;[類] likely to do sth, have a tendency to do sth;[例] Wilson is wont to emphasize the altruism of ants."
woo,v. 求愛、懇求
zealous,a. 熱情的、狂熱的
zenith,n. 最高點;[反] nadir;[例] Classical music reached its zenith at the turn of the century.
