recluse, (n.) 隱士，隱居者
rehabilitate, (v.) 使恢復，使康復
render, (v.) 使得，使成為
repatriate, (v.) 遣返，遣返回國
replete, (a.) 充滿的，裝滿的
replica, (n.) 複製品，仿製品
reprimand, (v.) 訓斥，譴責
reproof, (n.) 斥責，責備
retaliate, (v.) 報復，反擊
retard, (v.) 延遲，減緩
retentive, (a.) 記性好的
retrograde, (a.) 退步的
retrospect, (n.) 回顧
revolt, (n.) 叛亂
rudimentary, (a.) 基本的
rummage, (v.) 翻找
rustic, (a.) 鄉村的
sacrilegious, (a.) 該受天譴的
salubrious, (a.) 有益健康的
salvage, (v.) 搶救
sanction, (n.) 制裁
sanguine, (a.) 樂觀的
sardonic, (a.) 嘲弄的，挖苦的
savvy, (a.) 精明的，有見識的
scribble, (v.) 潦草地書寫
scrupulously, (adv.) 謹慎地
scrutinize, (v.) 仔細檢查
scuffle, (n.) 扭打
secluded, (a.) 隱蔽的，偏僻的
segregation, (n.) 種族隔離
seize, (v.) 抓住，扣押，沒收
self-annihilation, (n.) 自我毀滅
singe, (v.) 燒焦
skeptical, (a.) 懷疑的
slash, (v.) 大幅削減
slender, (a.) 苗條的
sluggish, (a.) 緩慢的，遲緩的
sovereign, (n.) 君主 (a.) 主權獨立的
speculate, (v.) 推測
stamina, (n.) 活力
stammer, (v.) 口吃
standoff, (n.) 僵局
staple, (v.) 釘(釘書機)
staunchly, (adv.) 堅定地
stigmatize, (v.) 污名化
stipulate, (v.) 規定
strait, (n.) 海峽
strenuously, (adv.) 費力地
striking, (a.) 引人注目的
subordinate, (n.) 下屬 (a.) 從屬的
subsidize, (v.) 補貼，資助
succinct, (a.) 簡潔的
suffice, (v.) 足夠
supersede, (v.) 取代
supple, (a.) 柔軟的
susceptible, (a.) 易受影響的
suspense, (n.) 懸念，不安
swarm, (n.) 群(昆蟲)
synthesis, (n.) 合成，結合體
synthetically, (adv.) 合成地，人造地
tantamount, (a.) 相等的
