bravado,n. 虛張聲勢;[記法]bravo喝采聲+do(作)->作出來的喝采聲->虛張聲勢
brazen,(adj.)厚顏無恥的;[記法]braze黃銅
bristle,"n.短且硬之毛;vi.(毛發等)豎起, 發怒;[記法]音讀:不爽"
bromidic,"a.陳腐的;[類]trite;[記法]音讀""白米的""->無味的->陳腐的;白米容易長蟲->陳腐的"
brook,"（v.）忍受；容忍;[類]tolerate;[記法]brook音讀""布魯克""->航海王布魯克忍受幾十年在海上的漂流->忍受"
bucolic,adj.鄉村的；田園生活的
buoyant,a.看漲的 繁榮的 能浮起的;;[記法]不掩的->看漲的
burgeoning,a. 生機勃勃的；迅速發展的
buttress,n.加強、支持;support built against a wall
bypass,v. 規避；避開
cache,"n.儲藏,儲存處;;[記法]金錢的儲藏處"
cagey,adj.謹慎的，機敏的;;[記法]凱基證卷很謹慎
cajole,v. 勾引；誘騙;[類]coax;wheedle;[例]Louis was so painfully shy that his friends had to cajole him not to shun even the smallest social gathering.;[記法]caj(=cage)+jole(=jail)->騙到籠子和監獄裡->哄騙
calamity,"n.災難；禍患;[類]disaster,cataclysm;[例]an economic calamity;[記法]災難來了一定要calm才活得下去"
calumnious,"[adj.]中傷的,誹謗的;;[記法]可拉你而死->中傷, 毀謗的"
camouflage,n.掩飾，偽裝
canned,"a.千篇一律的;[類]formulaic公式的;;[記法]像罐頭一樣, 全部都長一樣"
capricious,"a. 變化無常的；任性的;[類]erratic, fickle, mutable, mercurial;[記法]卡比獸很善變;: changing often and quickly; especially : often changing suddenly in mood or behavior;: not logical or reasonable : based on an idea, desire, etc., that is not possible to predict"
caricature,v.誇張扭曲;n.諷刺漫畫;;[記法]character角色可ㄑㄧㄡ
categorical,a. 絕對的；至上的;[記法]分類是種絕對的權力
caterwaul,"v./n.嚎叫,尖叫,貓叫春"
cerebral,a.大腦的，智力的
chagrin,"n. 失望，懊惱;[記法]cha音讀""差""+grin微笑->臉書po了笑得很差的照片->懊惱,悔恨"
champion,"v.為...而戰,支持,捍衛"
chic,a.高雅時尚的;[記法]chick又做小妞->高雅時尚的小妞
chimera,"n.希臘神話女怪,幻想;[記法]chi吃，me我，ra拉︰大妖怪吃我來了;【源】原指希臘神話中吐火女怪凱米拉 ( 獅頭、羊身、蛇尾 )"
churlish,"(adj.) 粗野的, 無禮的;[類] vulgar, surly;[記法] 智利人粗魯無禮"
clear-cut,a. 明確的；清楚的；輪廓清晰
cliquish,a.小集團的
coddle,v. 溺愛；悉心照料
coerce,"v. 強制；迫使;[記法]n. coercion 強迫,威脅;adj. coercive 強制的,強迫的;compel sb to do sth;;強制, 迫使他 ""可餓死"""
cogent,"adj.有说服力的，令人信服的;[類]convincing, compelling;[例]Since this response offers cogent examination of the argument, it earns a score of 6."
colossal,"adj.巨大的, 龐大的;[類]immense,huge, gigantic"
