numinous,a. 神聖的; 神秘的;[類] divine
obeisance,n. 尊重、敬禮;[記] obey
oblique,a. 斜的、間接的、不坦率的;[記] 音讀「噢，不理你」→傲嬌→不直接的、不坦率的
oblivious,a. 未察覺的、健忘的
opprobrium,"n. 辱罵;[記] Latin, form opprobrare, from ob in the way of + probrum reproach; akin to Latin pro forward to Latin ferre to carry, bring -- more at ob-, for, bear"
oscillate,v. 擺動、搖擺
ostensible,"a. 外表的、假裝的;[類] apparent(表面上的), plausible(似乎是真的), specious(似是而非的);[反] actual;[例] an ostensible motive(表面上的動機)"
oust,v. 驅逐;[類] expel; banish
outgrowth,n. 自然結果、產物、副產品;[記] 片語 grow out of 的組合字
overarching,adj. 包含所有的、支配一切的
overbearing,a. 專橫的、好指使人的、傲慢的
override,v. 否決、不顧、使無效;[類] trample (踩踏、無視)
palliative,a. 緩和的、治標不治本的
panacea,n. 萬靈藥;;[記法]盤尼西林
paradigm,n. 範例、典範
parochial,"a. 狹隘的、地方性的;[類] provincial, narrow"
parsimonious,a. 吝嗇的、過於節省的;[反] profligate(肆意揮霍的);[記] 音讀「怕死 money」→害怕花錢→吝嗇的
paucity,n. 少數、缺乏;[反] profusion(大量); plethora(過剩);[例] There is a paucity of evidence on the effects of class size on pupils' learning.;[記] 音讀「跑 city」→在全城跑找東西→缺乏
peculiar,a. 奇怪的、罕見的、古怪的;[例] Peculiar Children 怪奇孤兒院
peevish,"a. 易怒的、乖戾的、壞脾氣的;[類] irritable, querulous, fretful, fractious;[例] peevish mood (乖戾的脾氣);[記] 音讀「屁」→動不動就說屁的人→暴躁的、易怒的"
permeate,v. 滲入、通過;[類] penetrate; permeable = porous
perquisite,n. 額外補貼、臨時津貼
persistent,a. 堅持不懈的
philistine,n. 不懂藝術的人、沒有教養的人
phlegmatic,a. 冷靜的、沉著的
physiological,a. 生理的、生理學的
pigeonhole,"n. 鴿舍出入口; 文件格；信件格；鴿籠式分類架;;n.v.把...不公平地分類;;: a small open space in a desk, cabinet, or wall for keeping letters or papers;—used to say that someone or something is being unfairly thought of or described as belonging to a particular group, having only a particular skill, etc."
pilferage,n. 偷竊、竊盜行為
plaintive,a. 悲哀的、哀傷的;[類] melancholy
plastic,a. 可塑的、易受影響的
poignant,a. 味道濃烈的、令人傷心的、令人充滿同情的;: causing a strong feeling of sadness;;[類] piercing;[例] a poignant perfume/ The photograph was a poignant reminder of her childhood.
polemical,a. 爭論的、辯論的;[類] polemic; controversial;[反] conciliatory (撫慰調和的);[例] polemical treatise(論文、專著)
pragmatic,a. 務實的
prerequisite,a. 不可或缺的、事先需要的
presage,"n.v. 預言;=foretell, predict, foreshadow;[記法] sage: seek"
pretentious,a. 自命不凡的，矯揉做作;[類] n. pretention 自負、做作;[記法] pretend自己很厲害
prickly,a. 易怒的
prodigy,n. 神童
propensity,n. 傾向、習性
protean,a. 變化不定的、變化多端的;[例] Sarah Bernhardt had so protean a telant that she bedazzled audiences with her divers and utterly convincing characterizations.;;[記法]protein蛋白質->蛋白質容易變質->變化多端
provincial,"a. 偏狹的;[類] parochial; insular;;: of, relating to, or coming from a province;: not knowing or caring about people and events in other places : having narrow or limited concerns or interests"
puerile,"a. 幼稚的、孩子氣的、天真的、未成熟的;[反] sagacious(精明的), mature(成熟的);[記] puer(=pure)+ile→純潔的→幼稚的"
qualify,v. 使有資格、限制
